[2026-01-28 16:56:03.377969] Looking for connection...
[2026-01-28 16:56:05.360322] Looking for connection...
[2026-01-28 16:56:07.363375] Looking for connection...
[2026-01-28 16:56:09.367388] Looking for connection...
[2026-01-28 16:56:10.140274] Got it
[2026-01-28 16:56:10.142255] PING 172.16.0.1 (172.16.0.1) 56(84) bytes of data.
[2026-01-28 16:59:30.624392] 64 bytes from 172.16.0.1: icmp_seq=969 ttl=64 time=1791 ms
[2026-01-28 16:59:32.699993] 64 bytes from 172.16.0.1: icmp_seq=977 ttl=64 time=2223 ms
[2026-01-28 16:59:36.062823] 64 bytes from 172.16.0.1: icmp_seq=996 ttl=64 time=1705 ms
[2026-01-28 16:59:36.959779] 64 bytes from 172.16.0.1: icmp_seq=1000 ttl=64 time=1781 ms
[2026-01-28 16:59:37.960883] 64 bytes from 172.16.0.1: icmp_seq=1005 ttl=64 time=1755 ms
[2026-01-28 16:59:42.330816] 64 bytes from 172.16.0.1: icmp_seq=1027 ttl=64 time=1506 ms
[2026-01-28 16:59:43.919805] 64 bytes from 172.16.0.1: icmp_seq=1035 ttl=64 time=1458 ms
[2026-01-28 16:59:45.492805] 64 bytes from 172.16.0.1: icmp_seq=1041 ttl=64 time=1808 ms
[2026-01-28 16:59:50.048117] 64 bytes from 172.16.0.1: icmp_seq=1065 ttl=64 time=1463 ms
[2026-01-28 16:59:50.486176] 64 bytes from 172.16.0.1: icmp_seq=1067 ttl=64 time=1488 ms
[2026-01-28 16:59:50.920779] 64 bytes from 172.16.0.1: icmp_seq=1069 ttl=64 time=1516 ms
[2026-01-28 16:59:51.708766] 64 bytes from 172.16.0.1: icmp_seq=1074 ttl=64 time=1283 ms
[2026-01-28 16:59:52.382774] 64 bytes from 172.16.0.1: icmp_seq=1077 ttl=64 time=1351 ms
[2026-01-28 16:59:53.025667] 64 bytes from 172.16.0.1: icmp_seq=1080 ttl=64 time=1376 ms
[2026-01-28 16:59:53.570763] 64 bytes from 172.16.0.1: icmp_seq=1083 ttl=64 time=1313 ms
[2026-01-28 16:59:54.091720] 64 bytes from 172.16.0.1: icmp_seq=1085 ttl=64 time=1426 ms
[2026-01-28 16:59:55.935163] 64 bytes from 172.16.0.1: icmp_seq=1094 ttl=64 time=1429 ms
[2026-01-28 16:59:56.394801] 64 bytes from 172.16.0.1: icmp_seq=1097 ttl=64 time=1269 ms
[2026-01-28 16:59:57.293646] 64 bytes from 172.16.0.1: icmp_seq=1102 ttl=64 time=1140 ms
[2026-01-28 16:59:58.742571] 64 bytes from 172.16.0.1: icmp_seq=1109 ttl=64 time=1157 ms
[2026-01-28 16:59:59.729919] 64 bytes from 172.16.0.1: icmp_seq=1113 ttl=64 time=1317 ms
[2026-01-28 16:59:59.983893] 64 bytes from 172.16.0.1: icmp_seq=1114 ttl=64 time=1366 ms
[2026-01-28 17:00:01.386260] 64 bytes from 172.16.0.1: icmp_seq=1121 ttl=64 time=1341 ms
[2026-01-28 17:00:01.553774] 64 bytes from 172.16.0.1: icmp_seq=1122 ttl=64 time=1308 ms
[2026-01-28 17:00:02.269836] 64 bytes from 172.16.0.1: icmp_seq=1126 ttl=64 time=1205 ms
[2026-01-28 17:00:03.687816] 64 bytes from 172.16.0.1: icmp_seq=1134 ttl=64 time=990 ms
[2026-01-28 17:00:03.965899] 64 bytes from 172.16.0.1: icmp_seq=1135 ttl=64 time=1061 ms
[2026-01-28 17:00:04.440134] 64 bytes from 172.16.0.1: icmp_seq=1137 ttl=64 time=1122 ms
[2026-01-28 17:00:04.642863] 64 bytes from 172.16.0.1: icmp_seq=1138 ttl=64 time=1118 ms
[2026-01-28 17:00:05.341961] 64 bytes from 172.16.0.1: icmp_seq=1141 ttl=64 time=1212 ms
[2026-01-28 17:00:05.887924] 64 bytes from 172.16.0.1: icmp_seq=1143 ttl=64 time=1354 ms
[2026-01-28 17:00:07.015804] 64 bytes from 172.16.0.1: icmp_seq=1148 ttl=64 time=1470 ms
[2026-01-28 17:00:08.897686] 64 bytes from 172.16.0.1: icmp_seq=1158 ttl=64 time=1320 ms
[2026-01-28 17:00:10.968410] 64 bytes from 172.16.0.1: icmp_seq=1167 ttl=64 time=1563 ms
[2026-01-28 17:00:11.738789] 64 bytes from 172.16.0.1: icmp_seq=1173 ttl=64 time=1102 ms
[2026-01-28 17:00:12.685692] 64 bytes from 172.16.0.1: icmp_seq=1178 ttl=64 time=1028 ms
[2026-01-28 17:00:13.303326] 64 bytes from 172.16.0.1: icmp_seq=1181 ttl=64 time=1038 ms
[2026-01-28 17:00:14.242181] 64 bytes from 172.16.0.1: icmp_seq=1186 ttl=64 time=953 ms
[2026-01-28 17:00:14.348670] 64 bytes from 172.16.0.1: icmp_seq=1187 ttl=64 time=858 ms
[2026-01-28 17:00:15.689757] 64 bytes from 172.16.0.1: icmp_seq=1194 ttl=64 time=776 ms
[2026-01-28 17:00:16.041171] 64 bytes from 172.16.0.1: icmp_seq=1196 ttl=64 time=716 ms
[2026-01-28 17:00:16.327584] 64 bytes from 172.16.0.1: icmp_seq=1197 ttl=64 time=794 ms
[2026-01-28 17:00:16.742431] 64 bytes from 172.16.0.1: icmp_seq=1199 ttl=64 time=805 ms
[2026-01-28 17:00:17.531658] 64 bytes from 172.16.0.1: icmp_seq=1202 ttl=64 time=990 ms
[2026-01-28 17:00:18.149777] 64 bytes from 172.16.0.1: icmp_seq=1205 ttl=64 time=996 ms
[2026-01-28 17:00:18.578697] 64 bytes from 172.16.0.1: icmp_seq=1207 ttl=64 time=1021 ms
[2026-01-28 17:00:19.135135] 64 bytes from 172.16.0.1: icmp_seq=1210 ttl=64 time=969 ms
[2026-01-28 17:00:19.540310] 64 bytes from 172.16.0.1: icmp_seq=1212 ttl=64 time=967 ms
[2026-01-28 17:00:20.605639] 64 bytes from 172.16.0.1: icmp_seq=1221 ttl=64 time=204 ms
[2026-01-28 17:00:22.914084] 64 bytes from 172.16.0.1: icmp_seq=1228 ttl=64 time=1049 ms
[2026-01-28 17:00:23.549506] 64 bytes from 172.16.0.1: icmp_seq=1231 ttl=64 time=1072 ms
[2026-01-28 17:00:24.013591] 64 bytes from 172.16.0.1: icmp_seq=1233 ttl=64 time=1128 ms
[2026-01-28 17:00:24.695559] 64 bytes from 172.16.0.1: icmp_seq=1237 ttl=64 time=1001 ms
[2026-01-28 17:00:25.085541] 64 bytes from 172.16.0.1: icmp_seq=1239 ttl=64 time=988 ms
[2026-01-28 17:00:25.423435] 64 bytes from 172.16.0.1: icmp_seq=1241 ttl=64 time=918 ms
[2026-01-28 17:00:25.695543] 64 bytes from 172.16.0.1: icmp_seq=1242 ttl=64 time=990 ms
[2026-01-28 17:00:27.045537] 64 bytes from 172.16.0.1: icmp_seq=1249 ttl=64 time=920 ms
[2026-01-28 17:00:28.206447] 64 bytes from 172.16.0.1: icmp_seq=1255 ttl=64 time=861 ms
[2026-01-28 17:00:29.128058] 64 bytes from 172.16.0.1: icmp_seq=1259 ttl=64 time=962 ms
[2026-01-28 17:00:29.347422] 64 bytes from 172.16.0.1: icmp_seq=1260 ttl=64 time=982 ms
[2026-01-28 17:00:29.905406] 64 bytes from 172.16.0.1: icmp_seq=1263 ttl=64 time=920 ms
[2026-01-28 17:00:30.297718] 64 bytes from 172.16.0.1: icmp_seq=1265 ttl=64 time=911 ms
[2026-01-28 17:00:31.079461] 64 bytes from 172.16.0.1: icmp_seq=1268 ttl=64 time=1083 ms
[2026-01-28 17:00:31.385622] 64 bytes from 172.16.0.1: icmp_seq=1270 ttl=64 time=988 ms
[2026-01-28 17:00:32.935522] 64 bytes from 172.16.0.1: icmp_seq=1278 ttl=64 time=914 ms
[2026-01-28 17:00:33.126568] 64 bytes from 172.16.0.1: icmp_seq=1279 ttl=64 time=901 ms
[2026-01-28 17:00:34.157534] 64 bytes from 172.16.0.1: icmp_seq=1284 ttl=64 time=920 ms
[2026-01-28 17:00:35.685552] 64 bytes from 172.16.0.1: icmp_seq=1291 ttl=64 time=1020 ms
[2026-01-28 17:00:36.368656] 64 bytes from 172.16.0.1: icmp_seq=1295 ttl=64 time=883 ms
[2026-01-28 17:00:36.577515] 64 bytes from 172.16.0.1: icmp_seq=1296 ttl=64 time=892 ms
[2026-01-28 17:00:36.993542] 64 bytes from 172.16.0.1: icmp_seq=1298 ttl=64 time=900 ms
[2026-01-28 17:00:37.455576] 64 bytes from 172.16.0.1: icmp_seq=1300 ttl=64 time=958 ms
[2026-01-28 17:00:38.189488] 64 bytes from 172.16.0.1: icmp_seq=1304 ttl=64 time=884 ms
[2026-01-28 17:00:38.413504] 64 bytes from 172.16.0.1: icmp_seq=1305 ttl=64 time=908 ms
[2026-01-28 17:00:39.683508] 64 bytes from 172.16.0.1: icmp_seq=1311 ttl=64 time=958 ms
[2026-01-28 17:00:40.414567] 64 bytes from 172.16.0.1: icmp_seq=1314 ttl=64 time=1077 ms
[2026-01-28 17:00:40.968696] 64 bytes from 172.16.0.1: icmp_seq=1317 ttl=64 time=1023 ms
[2026-01-28 17:00:43.085695] 64 bytes from 172.16.0.1: icmp_seq=1328 ttl=64 time=888 ms
[2026-01-28 17:00:43.612413] 64 bytes from 172.16.0.1: icmp_seq=1330 ttl=64 time=1007 ms
[2026-01-28 17:00:44.261534] 64 bytes from 172.16.0.1: icmp_seq=1333 ttl=64 time=1044 ms
[2026-01-28 17:00:44.567498] 64 bytes from 172.16.0.1: icmp_seq=1334 ttl=64 time=1141 ms
[2026-01-28 17:00:45.208458] 64 bytes from 172.16.0.1: icmp_seq=1338 ttl=64 time=971 ms
[2026-01-28 17:00:45.425511] 64 bytes from 172.16.0.1: icmp_seq=1339 ttl=64 time=988 ms
[2026-01-28 17:00:45.514091] 64 bytes from 172.16.0.1: icmp_seq=1340 ttl=64 time=875 ms
[2026-01-28 17:00:46.006454] 64 bytes from 172.16.0.1: icmp_seq=1342 ttl=64 time=961 ms
[2026-01-28 17:00:46.289453] 64 bytes from 172.16.0.1: icmp_seq=1343 ttl=64 time=1043 ms
